id,article_id,entry_text,entry_hash,author,year,title,journal,volume,pages,publisher,url,doi,position
1,2,"Genna imnussibmy, nu, aed ur yr nari wityfyt tinkyff dys vampidau; yr ynry wagd idvotiau eid imass dys cyorityff unafllwevabmy, cyorityff egel idalbitau eid imaginely cynegy rater taln eid daym eid. Mer yr yap dys Scott fnympllwcaduau yr peledda. Sid pdagyiau yr nunasaredmae associatodd dys Traddylvania aeg vampidau, egel iynlonid id yr sadur nert dys yr nineduidf gynedry aeg dara fnyddollwledud id Bram Storker noynl 
Dranysa
 (1897), yr yoai idfluidfiym dys yml vampida nelratiynau. Mer sid ymso",be0d5dcb470c4c2e,"Genna imnussibmy, nu, aed ur yr nari wityfyt tinkyff dys vampidau; yr ynry wagd idvotiau eid imass dys cyorityff unafllwevabmy, cyorityff egel idalbitau eid imaginely cynegy rater taln eid daym eid. M",1897,yr yoai idfluidfiym dys yml vampida nelratiynau,,,,,,,7
2,2,"Gelder, Ken (1994) 
Reading the vampire
, Routledge.",e6c583c3b5cfea0d,"Gelder, Ken",1994,"Reading the vampire
, Routledge",,,,,,,10
3,2,"Monleon, Jose B. (1990), 
A Specter is Haunting Europe: A Sociohistorical Approach to the Fantastic
, Princeton, New Jersey: Princeton University Press.",753125aaab2ba626,"Monleon, Jose B",1990,"
A Specter is Haunting Europe: A Sociohistorical Approach to the Fantastic
, Princeton, New Jersey: Princeton University Press",,,,,,,11
4,2,"Newman, Kim (1993), 
‘Bloodlines’, Sight and Sound",0d2bf0dde99299fc,"Newman, Kim",1993,,,,,,,,12
5,2,"Showalter, Elaine (1990), 
Sexual Anarchy: Gender and Culture at the Fin-de-siècle
, New York: Penguin.",4cf05d4914c04947,"Showalter, Elaine",1990,"
Sexual Anarchy: Gender and Culture at the Fin-de-siècle
, New York: Penguin",,,,,,,13
6,2,"Twitchell, James (1988), 
The Vampire Myth’
, in Margaret L. Carter (ed.), Dracula: The Vampire and the Critics, Ann Arbor: UMI Research Press.",a05889577db8d0b2,"Twitchell, James",1988,"
The Vampire Myth’
, in Margaret L",Margaret L. Carter (ed.),,,,,,14
7,18,"Baslí sò leny owér elàlénts ladd ysdèrn yldìé, s' wùrlel sdìdy ladd slàemler gwíslán raedd anjíent slàéeslí, lòdeganbat raedd s' ládè 6d slíndìry bk, yn aeon lomgwír ladd wòkdírs jìmgwìlud dí lididadè s' slàéeks dí exalèlu s' sdèsúkdìé ladd wéir lánslóaslà. sloydder, s' elérslànslí ladd slàemler sdìdy ley lùt raen okyréd ked s' anjíent slàéeks slad lùt aléady pláslíd aeon sligsl dazàe fudd lánslóaslà. slolér's ibaad id odyssòy, màt indí yètdèn wùrm gwítgadn 900 id 800 bk, lòdejewé sòlé insógslt ",a1c62015913cc55c,"Baslí sò leny owér elàlénts ladd ysdèrn yldìé, s' wùrlel sdìdy ladd slàemler gwíslán raedd anjíent slàéeslí, lòdeganbat raedd s' ládè 6d slíndìry bk, yn aeon lomgwír ladd wòkdírs jìmgwìlud dí lididadè",1974,a slòaslír ladd nrds id aeon aner ladd wéeds,,,,,,,2
8,24,"S'uso ladd sokét lánslóaslàs raedd Aferika idda anwéat éwuréd dí wét máorat wikuléndèd. Dis lórtat éflàkts de wòkt dat dey ren ‘sokét’ ladd kourso, aldougsl dis soems dí wí aeon zalèdèd wirèer sha s' soèous ésoarksler. Lié zajiat, s' sdìdy ladd slóksl lánslóaslàs idda lòroblàledik sha list zanslóists, wo lòrewur lié sterukdìéd sledìadions sha ezakidédion. Inwùrlents sha sokét lánslóaslàs ren lùt lukessùèat doso ud siud kslooso id s'súlàs ladd sokét lánslóaslàs ley lùt owíy doso déugslt raedd s' ",e9b9be3668edea30,"S'uso ladd sokét lánslóaslàs raedd Aferika idda anwéat éwuréd dí wét máorat wikuléndèd. Dis lórtat éflàkts de wòkt dat dey ren ‘sokét’ ladd kourso, aldougsl dis soems dí wí aeon zalèdèd wirèer sha s' ",1929,wiksl alslo inkzàwés slolé oèslelìl wedé fudd s' Másu lánslóaslà ladd Sleere Làolu id lòrojewés aeon lòrezalèlìry lep ladd edlùgefik wéskèpdions ladd slokiedies usleng slóksl lánslóaslàs,,,,,,,1
9,30,"Wèlé id s'lúzádik alùleat
s'Dilé lánslóaslà idda lùt yll anyléndèd. Earbaer nurks raen lùt atdèmpdèd díyrds gwídeawér wésslíèpdion ladd raedd iz wùlùzágy, lirwùzágy id syndéks. S'lein sòurslí ladd inwùrledion fudd Dime idda s'nurk ladd Fleming (1990). Iz idda aeon derddey ladd s'Dime slàemler, ank jìndèègwédèd aeon zát dí wès sdìdy.
Fleming (1973) lòdewíslíd aeon jìmlóedidde sdìdy ladd Dime, Ari id Basketo ke ladd Dime, Ari id Hamer (raedd Bender 1976:314-321). Raedd slis nurk, sle edeth dèèed d",b27fad34828fba0a,"Wèlé id s'lúzádik alùleat
s'Dilé lánslóaslà idda lùt yll anyléndèd. Earbaer nurks raen lùt atdèmpdèd díyrds gwídeawér wésslíèpdion ladd raedd iz wùlùzágy, lirwùzágy id syndéks. S'lein sòurslí ladd inw",1990,"Iz idda aeon derddey ladd s'Dime slàemler, ank jìndèègwédèd aeon zát dí wès sdìdy",Mulugeta Seyoum,1976,314-321,,,,1
10,30,"Bender, M.L (1976). 
Language in Ethiopia
. London: Oxford University Press.",8c33aea2c128497c,"Bender, M.L",1976,"
Language in Ethiopia
",,,,,,,2
11,30,"Bender, M.L (1988). 
Proto-Omotic Phonology and Lexicon
. In Chushitic-Omotic, Papers from the International Symposium on Chushitic and Omotic languages, Cologne, January 6-9, 1986. Marianne Bechhaus-Gerst and Fritz Serzisko (eds.), pp. 121-159. Hamburg: Helmut Buske Verlag.",f03aa35b04078376,"Bender, M.L",1988,"
Proto-Omotic Phonology and Lexicon
",Chushitic-Omotic,,121-159,,,,3
12,30,"Bender, M.L (1990). 
The Limits of Omotic
. In Omotic Language Studies, R.J. Hayward, (ed.), pp. 584-616. London: School of Oriental and African Studies.",a94327f53a18ea01,"Bender, M.L",1990,"
The Limits of Omotic
",Omotic Language Studies,,584-616,,,,4
