id,article_id,citation_text,citation_hash,citation_type,author,year,title,source,position
1,1,(July 1996),b6353772360baac6,parenthetical,July,1996,,,15904
2,2,"Dranysa
 (1897)",13c49b129af194db,author_year,Dranysa,1897,,,1878
3,2,Ken (1994),a47156d9e5c38a2b,author_year,Ken,1994,,,2573
4,2,Kim (1993),7a26e9df27375968,author_year,Kim,1993,,,2793
5,2,Elaine (1990),b080e0b1f0ea298c,author_year,Elaine,1990,,,2855
6,2,James (1988),940c9d6d445b0762,author_year,James,1988,,,2966
7,24,Dompslon (1929),d68adf6e5b60ce85,author_year,Dompslon,1929,,,740
8,30,Fleming (1990),97e872717bbc0d64,author_year,Fleming,1990,,,238
9,30,Fleming (1973),86e045d74d92e72c,author_year,Fleming,1973,,,337
10,30,Hetzron (1988),054bceb4b1dca941,author_year,Hetzron,1988,,,621
11,30,Siebert (1995),4afaf0f65616800e,author_year,Siebert,1995,,,724
12,30,Harold (1969),bbce76123debbd4e,author_year,Harold,1969,,,2101
13,30,Harold (1976a),5b4be6bd52f0d2f9,author_year,Harold,1976a,,,2355
14,39,"(Roth, 1880)",1244b41ab02da048,parenthetical_comma,Roth,1880,,,758
15,65,Schneider (1957),47a5c6d6fa9477ab,author_year,Schneider,1957,,,1904
16,83,Lamberti (1991),0819adfe320afddb,author_year,Lamberti,1991,,,1300
17,91,Kiasni (1994),dce3e94616324aa9,author_year,Kiasni,1994,,,2488
18,97,Howard (1980),8a69eae9e955a4d3,author_year,Howard,1980,,,2305
19,97,Norbert (1981),f8af2657fd956c03,author_year,Norbert,1981,,,2518
20,97,Alexander (2002),63ca14869849f5be,author_year,Alexander,2002,,,2684
21,97,Heinrich (1999),80b8a96931c3cc10,author_year,Heinrich,1999,,,2824
22,103,Chatterji (1960),3cd7dfcfbc8c9339,author_year,Chatterji,1960,,,357
23,103,"Masica
(1991)",ec7147e7bf7fce6d,author_year,Masica,1991,,,377
24,103,Grierson and Masica (1991),da6d0f89bdda5ed5,author_year,Grierson and Masica,1991,,,2954
25,104,Lipinski (1997),7faf8062df59fdf6,author_year,Lipinski,1997,,,448
26,109,Caron (2003),60fecb2a93416a20,author_year,Caron,2003,,,5699
27,109,Boyd and Nougayrol (1988),3dfcf16cc1f29988,author_year,Boyd and Nougayrol,1988,,,6044
28,109,(Everett 1994),fee01d29a701fc46,parenthetical,Everett,1994,,,735
29,109,(Heine 1976),3167e6bb322fb56f,parenthetical,Heine,1976,,,1633
30,109,(Doornbos and Bender 1983),4ef505a4a0ad1c8a,parenthetical,Doornbos and Bender,1983,,,1905
31,109,(Boyeldieu 1982),68d88d5f02738750,parenthetical,Boyeldieu,1982,,,2020
32,109,(Traill 1973),e296d9bcb865f81f,parenthetical,Traill,1973,,,2177
33,109,(Johnson 2006),e55c6e50b576b5f7,parenthetical,Johnson,2006,,,2586
34,109,(Johnson and Hamm 2002),8a9ee2d0ecdd58ef,parenthetical,Johnson and Hamm,2002,,,2743
35,109,(Li 1996),d27669bacee9d9c0,parenthetical,Li,1996,,,2835
36,109,(Dieu and Renaud 1983),eb18b07810a7a75d,parenthetical,Dieu and Renaud,1983,,,2879
37,109,(Breton 1995),e1e601711124245a,parenthetical,Breton,1995,,,3344
38,109,(Connell 1998),c9d1d1c815e3f298,parenthetical,Connell,1998,,,3367
39,109,(Rehman and Baart 2005),0749024e4be63f40,parenthetical,Rehman and Baart,2005,,,3694
40,109,(Decker 1992),d31bc1c63440a2e3,parenthetical,Decker,1992,,,3801
41,109,(Watters 2002),473e2bf665ab56b9,parenthetical,Watters,2002,,,3940
42,109,(Nishida 1973),65093de8ff46f8ce,parenthetical,Nishida,1973,,,4062
43,109,(Kroemer 1990),e3e9cc275e942c1a,parenthetical,Kroemer,1990,,,4386
44,109,(Gabas 2005),115a2a1fe4626163,parenthetical,Gabas,2005,,,5239
45,109,(Price 1978),3a901d68278dd18f,parenthetical,Price,1978,,,5366
46,109,(Steinmetz 1996),0b3e6d8680890b2f,parenthetical,Steinmetz,1996,,,6730
47,109,(Munnings and Munnings 1990),51728eea5479ef44,parenthetical,Munnings and Munnings,1990,,,6840
48,109,(Brown 1981),0a76959f8b4c0c3d,parenthetical,Brown,1981,,,7237
49,109,(Kumar 2000),8911afc7984250e5,parenthetical,Kumar,2000,,,7874
