id,article_id,image_url,image_hash,alt_text,caption,width,height,file_type,is_header,is_downloaded,local_path,position
1,1,https://www.aureumlinguae.com/flexternal/FL-HEADER62b.jpg,b2e1e25d713fa59e,,,999,316,jpg,1,0,,0
2,1,https://c.statcounter.com/9025047/0/a6bf07d5/1/,bdb4e811608ca44d,blogspot visitor counter,,,,,0,0,,1
3,1,https://blogger.googleusercontent.com/img/a/AVvXsEiXCUNwKHmIEuRtcyhX50SBP7TAuhhF0Q-M3bR1ChSl54yC9efegNXWvWVs58SEFFzauTC7Wqbfdz87JeWJZu3YDVwH940d3vXxDk4X7gn7ZxGDbdgYxzVvcW0SXCIVhDUcxKDTTniOxpksGPwZNDFNU4Qy709v9WIJRU_Ey0mZsVJFyOqIs2llXW33jQ=s517,09c43c020a832af0,Contributors,,216,517,,0,0,,2
4,1,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgCdX2bCZWtVd5F6ETQvJhaYqqd4MxbpqQ6PWVICTpeFwekFGhXUsLK6HPEGTJSM1weiuP7r44N0jpmb2O7rRqBC-lVpS7IZUl7M5uBF0G0Ng0vbs-lRvtp9rmx9aeugqPplqH_-VLNGCM/s320/Axis+-+From+Lightning+Bugs+to+MilOrbs+Cover.jpg,9dc403f4536e010a,Axis: From Lightning Bugs to MilOrbs - The Advanced Pilot Training Program Cover,,,,jpg,0,0,,3
5,1,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjdfo3R7UVCeMTYO1qRTnDhOCbbzA7FqyXukLtdPywIibwqzTr6Eo7Kdg_XSh3tDqWV53Qe_40o35yBgE-UR2zjP1g-VS4jD_NeRgFOIFF5jBquCHbeFXCR6gBGWG0tR1EhqCFtmRXqOQQ/s1600/Axis+Fig+1.jpg,fa395da35fcdb624,,,,,jpg,0,0,,4
6,1,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgCHu4LhCoXw43OWcMhqma4zB_bPl9ITLaLcKjqhVyDwgvQJ8K1M4MatEAtoBvrMOT6X1KPNyZY6BICChSnFHcGHryV5jKX-r7wDwDcJTxqV-khtLNKH7DT8OpxsTS9WiPLZKJ0vx5U4-E/s1600/Axis+Fig+2.jpg,e3a7ed3ac084c0f9,,,,,jpg,0,0,,5
7,1,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj29B19Tx2pBXLKgxxMrS-iqFH8LltGOcKUiMUnt6i1l-OTeyL4A6muICrLtCZ11PQtAYXNeM1gH1Zw9SASei49OXXKOGDgKD1UeEYLJUD5nJyaP4b90zkAAfhgPPXwnrJI6SXLHigqr_w/s1600/Axis+Fig+3.jpg,eccdd42f2f36f820,,,363,463,jpg,0,0,,6
8,1,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgEmK22mnGEVMCfyvDKHPTXYnL60_A8AYsGfcrWIpWyBaDKGait9MPMcNZMkmqhcW3Zwh5z6Mf6tyhLec6LaY47u-KnoV23mbuQaRHGEFHOxugUiRafzEHW9Dha1DfIm_DxT1qsKi02Ue0/?imgmax=800,cfd656318e2e3667,,,,,,0,0,,7
12,2,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgcqeYjRDkSTbu_EXIc-mmfY4yIqTvi7aAxb8GPGW7c0hXvfErnCpkXyuTlRJZhPTGhmTl1Q9YueSQtKKwBSS8pXvWDED6HLn-TNhKhSPp-wdo9fO0qBFLtaD1r1Z4WdWEugnc1R4JhLopp/?imgmax=800,3000cc6bd937f34a,readingvampyr_cover,,254,343,,0,0,,3
16,3,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiPgU873kh6VPBU9_gssPzAQaj0-TapRDaHtHbvPXbXtKeBHeroelPJKxVqRtN9xQgOIXpj5bSnpfrFSYPn64OnttZkWTehal9xi2S9CRn80LPB6hEooHw8U_SsR-P8sKiYsdvRpGCA6zm2/?imgmax=800,79db499c5498eb90,Xenolinguistics Cover,,227,399,,0,0,,3
