code,lat,lon,date,method,region,title,nearest_facility,facility_distance_km,nearest_anomaly,anomaly_distance_km,url
+070-022,36.231,-118.7034,2016-03,MilDSP,North America,Cassini Diskus - MilDSP +070-022,China Lake NAWS,109.3,Bermuda Triangle,4683.3,https://forgottenlanguages-full.forgottenlanguages.org/2016/03/cassini-diskus-mildsp-070-022.html
+103-055,35.5809,-155.8185,2016-03,MilDSP,Ocean/Other,Cassini Diskus - MilDSP +103-055,China Lake NAWS,3423.6,Bermuda Triangle,7982.9,https://forgottenlanguages-full.forgottenlanguages.org/2016/03/cassini-diskus-mildsp-103-055.html
-020+136,38.004,58.9992,2016-04,MilDSP,Central Asia,Cassini Diskus - MilDSP -020+136 (Turkmenistan Fallout),Dushanbe,854.7,Kursk Magnetic Anomaly,2262.8,https://forgottenlanguages-full.forgottenlanguages.org/2016/04/cassini-diskus-mildsp-020136.html
+123-007,35.1869,-101.8329,2016-04,MilDSP,North America,Cassini Diskus - MilDSP +123-007,Pantex Plant,28.1,Bermuda Triangle,3159.3,https://forgottenlanguages-full.forgottenlanguages.org/2016/04/cassini-diskus-mildsp-123-007.html
+205-014,33.5715,-109.7058,2016-04,MilDSP,North America,Cassini Diskus - MilDSP +205-014,White Sands,328.8,Bermuda Triangle,3849.1,https://forgottenlanguages-full.forgottenlanguages.org/2016/04/cassini-diskus-mildsp-205-014.html
+017+105,38,26.25,2016-05,MilOrb-small,Central Asia,Cassini Diskus - MilOrb +017+105,Mecca,2255.9,Kursk Magnetic Anomaly,1758.1,https://forgottenlanguages-full.forgottenlanguages.org/2016/05/cassini-diskus-milorb-017105.html
+007+209,28,52.25,2016-06,MilOrb-small,Africa/Middle East,Cassini Diskus - MilOrb +007+209,Mecca,1450.4,Kursk Magnetic Anomaly,2908.0,https://forgottenlanguages-full.forgottenlanguages.org/2016/06/cassini-diskus-milorb-007209.html
+202-197,-19.7,20.2,2016-06,MilOrb-large,Southern Africa,Cassini Diskus - MilOrb +202-197,Mecca,5047.1,SAA African Lobe,631.2,https://forgottenlanguages-full.forgottenlanguages.org/2016/06/cassini-diskus-milorb-202-197.html
-261+032,3.2,-26.1,2016-06,MilOrb-large,Ocean/Other,Cassini Diskus - MilOrb -261+032,Mecca,7389.5,South Atlantic Anomaly,3976.6,https://forgottenlanguages-full.forgottenlanguages.org/2016/06/cassini-diskus-milorb-261032.html
+003-038,24,-9.5,2016-08,MilOrb-small,Africa/Middle East,Cassini Diskus - MilOrb +003-038,Mecca,5042.4,Bangui Anomaly,3622.1,https://forgottenlanguages-full.forgottenlanguages.org/2016/08/cassini-diskus-milorb-003-038.html
-007+214,14,53.5,2016-09,MilOrb-small,Africa/Middle East,Cassini Diskus - MilOrb -007+214,Mecca,1665.6,Bangui Anomaly,4013.9,https://forgottenlanguages-full.forgottenlanguages.org/2016/09/cassini-diskus-milorb-007214.html
+134+208,20.8,13.4,2016-09,MilOrb-large,Africa/Middle East,Cassini Diskus - MilOrb +134+208,Mecca,2739.2,Bangui Anomaly,1825.8,https://forgottenlanguages-full.forgottenlanguages.org/2016/09/cassini-diskus-milorb-134208.html
-177+331,33.1,-17.7,2016-10,MilOrb-large,Africa/Middle East,Cassini Diskus - MilOrb -177+331,Mecca,5761.8,Bangui Anomaly,4837.6,https://forgottenlanguages-full.forgottenlanguages.org/2016/10/cassini-diskus-milorb-177331.html
+002+053,23,13.25,2016-11,MilOrb-small,Africa/Middle East,Cassini Diskus - MilOrb +002+053,Mecca,2738.0,Bangui Anomaly,2065.5,https://forgottenlanguages-full.forgottenlanguages.org/2016/11/cassini-diskus-milorb-002053.html
-003+442,18,110.5,2017-01,MilOrb-small,Ocean/Other,Cassini Diskus - MilOrb -003+442 榆林海军基地,Yulin Naval Base,102.3,Kursk Magnetic Anomaly,7282.2,https://forgottenlanguages-full.forgottenlanguages.org/2017/01/cassini-diskus-milorb-003442.html
-034+003,-13,0.75,2017-01,MilOrb-small,Ocean/Other,Cassini Diskus - MilOrb -034+003,Mecca,5731.6,SAA African Lobe,2247.4,https://forgottenlanguages-full.forgottenlanguages.org/2017/01/cassini-diskus-milorb-034003.html
+124+012,1.2,12.4,2017-01,MilOrb-large,Africa/Middle East,Cassini Diskus - MilOrb +124+012,Mecca,3727.4,Bangui Anomaly,751.7,https://forgottenlanguages-full.forgottenlanguages.org/2017/01/cassini-diskus-milorb-124012.html
