lat,lon,type,date,title,raw
29.9272,58.5519,dms,2013-10,Cassini Diskus - Iran region,"29.9272, 58.5519"
-37.8,-24.5,milorb_decoded_milorb_large,2013-11,MilOrb-large -245-378 - Ocean/Other,-245-378
41.954269,-101.210973,decimal,2015-06,"Cassini Diskus - 41.954269, -101.210973","41.954269, -101.210973"
-18.836491,-170.513437,decimal,2015-08,"Cassini Diskus - -18.836491, -170.513437","-18.836491, -170.513437"
-20.122252,-17.201742,decimal,2015-08,"Cassini Diskus - -20.122252, -17.201742 ◆","-20.122252, -17.201742"
31.918168,139.869504,decimal,2015-08,"Cassini Diskus - 青ヶ島 31.918168, 139.869504","31.918168, 139.869504"
33.254528,-119.486917,decimal,2015-08,"Cassini Diskus - 33.254528, -119.486917 ▸","33.254528, -119.486917"
7.524518,23.231561,decimal,2015-08,"Cassini Diskus - ◯ ◣ ◖ 7.524518, 23.231561","7.524518, 23.231561"
34.84838,36.73352,decimal,2015-10,"Cassini Diskus - ◬ ▱ ▻ ◍ 34.848380, 36.733520","34.848380, 36.733520"
55.5590395,-3.2211686,decimal,2015-12,"Cassini Diskus - 55.5590395,-3.2211686,3940","55.5590395,-3.2211686"
39.7808257,59.1359297,decimal,2016-01,"Cassini Diskus - 39.7808257,59.1359297,21024 (Turkmenistan)","39.7808257,59.1359297"
36.648,62.7604,dms,2016-02,Cassini Diskus - Karakul,"36.648, 62.7604"
51.5,-23.4,milorb_decoded_milorb_large,2016-02,MilOrb-large -234+515 - Ocean/Other,-234+515
36.23,-118.7,milorb_decoded_mildsp,2016-03,MilDSP +070-022 - North America,+070-022
35.58,-155.82,milorb_decoded_mildsp,2016-03,MilDSP +103-055 - Ocean/Other,+103-055
38.0,59.0,milorb_decoded_mildsp,2016-04,MilDSP -020+136 - Central Asia,-020+136
33.57,-109.71,milorb_decoded_mildsp,2016-04,MilDSP +205-014 - North America,+205-014
48.440355,-47.72423,decimal,2016-05,"Cassini Diskus - 48.440355, -47.724230","48.440355, -47.724230"
38,26.25,milorb_decoded_milorb_small,2016-05,MilOrb-small +017+105 - Europe,+017+105
21.760579,39.32942,decimal,2016-06,"Cassini Diskus - 21.760579, 39.329420","21.760579, 39.329420"
72.267445,15.125097,decimal,2016-06,"Cassini Diskus - 72.267445, 15.125097","72.267445, 15.125097"
-31.321476,175.000325,decimal,2016-06,"Cassini Diskus - Site -31.321476, 175.000325","-31.321476, 175.000325"
28,52.25,milorb_decoded_milorb_small,2016-06,MilOrb-small +007+209 - Africa/Middle East,+007+209
-19.7,20.2,milorb_decoded_milorb_large,2016-06,MilOrb-large +202-197 - Southern Africa,+202-197
3.2,-26.1,milorb_decoded_milorb_large,2016-06,MilOrb-large -261+032 - Ocean/Other,-261+032
38.6812,69.4625,dms,2016-08,Cassini Diskus - Entry Event,"38.6812, 69.4625"
45.9082,103.6167,dms,2016-08,Cassini Diskus - Entry Event Mongolia,"45.9082, 103.6167"
24,-9.5,milorb_decoded_milorb_small,2016-08,MilOrb-small +003-038 - Africa/Middle East,+003-038
40.121463,-112.915551,decimal,2016-09,"Cassini Diskus +40.121463, -112.915551","+40.121463, -112.915551"
45.886327,87.361847,decimal,2016-09,"Cassini Diskus - Entry Event 45.886327, 87.361847","45.886327, 87.361847"
14,53.5,milorb_decoded_milorb_small,2016-09,MilOrb-small -007+214 - Africa/Middle East,-007+214
20.8,13.4,milorb_decoded_milorb_large,2016-09,MilOrb-large +134+208 - Africa/Middle East,+134+208
48.261512,71.999473,decimal,2016-10,"Cassini Diskus - 48.261512, 71.999473","48.261512, 71.999473"
33.1,-17.7,milorb_decoded_milorb_large,2016-10,MilOrb-large -177+331 - Ocean/Other,-177+331
23,13.25,milorb_decoded_milorb_small,2016-11,MilOrb-small +002+053 - Africa/Middle East,+002+053
33.552608,-100.517892,decimal,2017-01,"Cassini Diskus - 33.552608, -100.517892","33.552608, -100.517892"
33.552608,-100.517892,decimal,2017-01,"Cassini Diskus - 33.552608, -100.517892","33.552608, -100.517892"
18,110.5,milorb_decoded_milorb_small,2017-01,MilOrb-small -003+442 - East Asia,-003+442
-13,0.75,milorb_decoded_milorb_small,2017-01,MilOrb-small -034+003 - Ocean/Other,-034+003
1.2,12.4,milorb_decoded_milorb_large,2017-01,MilOrb-large +124+012 - Africa/Middle East,+124+012
3.3,34.2,milorb_decoded_milorb_large,2017-01,MilOrb-large +342+033 - Africa/Middle East,+342+033
-25.292531,130.749575,decimal,2017-02,"Cassini Diskus - -25.292531, 130.749575","-25.292531, 130.749575"
-25.292531,130.749575,decimal,2017-02,"Cassini Diskus - -25.292531, 130.749575 (Queltron Correction)","-25.292531, 130.749575"
33.5384,68.2911,dms,2017-05,Mystical Weapons - Ghazni Afghanistan,"33.5384, 68.2911"
18,58.75,milorb_decoded_milorb_small,2017-07,MilOrb-small -003+235 - Africa/Middle East,-003+235
0.4,13.2,milorb_decoded_milorb_large,2017-07,MilOrb-large +132+004 - Africa/Middle East,+132+004
35.76019,-82.442803,decimal,2017-08,"Cassini Diskus - +35.760190, -82.442803","+35.760190, -82.442803"
39.285286,-103.787314,decimal,2017-08,"Cassini Diskus - +39.285286, -103.787314","+39.285286, -103.787314"
52.935655,-34.822339,decimal,2017-08,"Cassini Diskus - +52.935655, -34.822339","+52.935655, -34.822339"
52.936358,-34.82628,decimal,2017-08,"Cassini Diskus - +52.936358, -34.826280","+52.936358, -34.826280"
28.137725,61.008806,decimal,2017-08,"Cassini Diskus - ""Sienna"" last seen at 28.137725, 61.008806","28.137725, 61.008806"
34.347303,57.206411,decimal,2017-08,"Cassini Diskus - ""Sienna"" 34.347303, 57.206411","34.347303, 57.206411"
23,27.5,milorb_decoded_milorb_small,2017-08,MilOrb-small +002+110 - Africa/Middle East,+002+110
18,77.5,milorb_decoded_milorb_small,2017-08,MilOrb-small -003+310 - Ocean/Other,-003+310
27,53.25,milorb_decoded_milorb_small,2017-08,MilOrb-small +006+213 - Africa/Middle East,+006+213
14,53.25,milorb_decoded_milorb_small,2017-08,MilOrb-small -007+213 - Africa/Middle East,-007+213
-1,-179.25,milorb_decoded_milorb_small,2017-08,MilOrb-small -022-717 - Ocean/Other,-022-717
21.0,-12.3,milorb_decoded_milorb_large,2017-08,MilOrb-large -123+210 - Africa/Middle East,-123+210
9.446663,94.344333,decimal,2017-09,The Andaman Sea Area of Denial: The strange beacon in Constance Island,"9.446663, 94.344333"
9.445963,94.344428,decimal,2017-09,The Andaman Sea Area of Denial: The strange beacon in Constance Island,"9.445963, 94.344428"
11.563285,92.236034,decimal,2017-09,The Andaman Sea Area of Denial: The strange beacon in Constance Island,"11.563285, 92.236034"
16,57.75,milorb_decoded_milorb_small,2017-09,MilOrb-small -005+231 - Africa/Middle East,-005+231
-27.9,42.8,milorb_decoded_milorb_large,2017-09,MilOrb-large +428-279 - Southern Africa,+428-279
-32.1,50.6,milorb_decoded_milorb_large,2017-09,MilOrb-large +506-321 - Southern Africa,+506-321
22.2,-30.5,milorb_decoded_milorb_large,2017-10,MilOrb-large -305+222 - Ocean/Other,-305+222
21.128135,-11.403915,decimal,2018-02,"Cassini Diskus +21.128135, -11.403915","+21.128135, -11.403915"
21.128192,-11.402481,decimal,2018-02,"Cassini Diskus +21.128192, -11.402481","+21.128192, -11.402481"
38.639132,-102.849702,decimal,2018-02,"Cassini Diskus - +38.639132, -102.849702","+38.639132, -102.849702"
39.222054,-102.231257,decimal,2018-02,"Cassini Diskus +39.222054, -102.231257","+39.222054, -102.231257"
-13.162543,-18.435815,decimal,2018-04,"Cassini Diskus - -13.162543, -18.435815","-13.162543, -18.435815"
-16.506432,-14.08169,decimal,2018-04,"Cassini Diskus - -16.506432, -14.081690","-16.506432, -14.081690"
33.829237,36.500876,decimal,2018-04,"Cassini Diskus - 33.829237, 36.500876 (Jabrud)","33.829237, 36.500876"
33.853806,36.440693,decimal,2018-04,"Cassini Diskus - 33.853806, 36.440693 (Jabrud - calibration)","33.853806, 36.440693"
10.7,22.1,milorb_decoded_milorb_large,2018-04,MilOrb-large +221+107 - Africa/Middle East,+221+107
22.6,-33.2,milorb_decoded_milorb_large,2018-04,MilOrb-large -332+226 - Ocean/Other,-332+226
25,-55.5,milorb_decoded_milorb_small,2018-04,MilOrb-small +004-222 - Ocean/Other,+004-222
0.5,13.3,milorb_decoded_milorb_large,2018-04,MilOrb-large +133+005 - Africa/Middle East,+133+005
-36.486425,-16.934297,decimal,2018-05,"Cassini Diskus - -36.486425, -16.934297","-36.486425, -16.934297"
-37.860277,-16.491462,decimal,2018-05,"Cassini Diskus - -37.860277, -16.491462","-37.860277, -16.491462"
41.642213,-116.969045,decimal,2018-05,"Cassini Diskus +41.642213, -116.969045","+41.642213, -116.969045"
41.642279,-116.969353,decimal,2018-05,"Cassini Diskus +41.642279, -116.969353","+41.642279, -116.969353"
-37.200721,-13.10403,decimal,2018-05,"Cassini Diskus - ""Sienna"" -37.200721, -13.104030","-37.200721, -13.104030"
-37.2312,-13.142772,decimal,2018-05,"Cassini Diskus - ""Sienna"" -37.231200, -13.142772","-37.231200, -13.142772"
44,42.5,milorb_decoded_milorb_small,2018-05,MilOrb-small +023+170 - Central Asia,+023+170
14.5,31.3,milorb_decoded_milorb_large,2018-05,MilOrb-large +313+145 - Africa/Middle East,+313+145
16.658584,-116.689209,decimal,2018-07,"Cassini Diskus +16.658584, -116.689209","+16.658584, -116.689209"
18.256028,-81.699944,decimal,2018-07,"Cassini Diskus +18.256028, -81.699944","+18.256028, -81.699944"
32.046861,-105.68284,decimal,2018-07,"Cassini Diskus +32.046861, -105.682840","+32.046861, -105.682840"
-20.997842,-178.737882,decimal,2018-08,"Cassini Diskus: -20.997842, -178.737882","-20.997842, -178.737882"
-25.811565,173.491157,decimal,2018-08,"Cassini Diskus: -25.811565, 173.491157","-25.811565, 173.491157"
-26.294638,172.464099,decimal,2018-08,"Cassini Diskus: -26.294638, 172.464099","-26.294638, 172.464099"
-27.853421,169.873607,decimal,2018-08,"Cassini Diskus: -27.853421, 169.873607","-27.853421, 169.873607"
-27.870593,169.853685,decimal,2018-08,"Cassini Diskus: -27.870593, 169.853685","-27.870593, 169.853685"
35.526537,64.605441,decimal,2018-08,"Cassini Diskus: 35.526537, 64.605441","35.526537, 64.605441"
35.555545,64.601139,decimal,2018-08,"Cassini Diskus: 35.555545, 64.601139","35.555545, 64.601139"
35.558305,64.610651,decimal,2018-08,"Cassini Diskus: 35.558305, 64.610651","35.558305, 64.610651"
35.690337,64.391877,decimal,2018-08,"Cassini Diskus: 35.690337, 64.391877 (C3Sat)","35.690337, 64.391877"
35.690337,64.391877,decimal,2018-08,"Cassini Diskus: 35.690337, 64.391877","35.690337, 64.391877"
67.512206,48.776419,decimal,2018-09,"Cassini Diskus - AfC Recovery Point 67.512206, 48.776419","67.512206, 48.776419"
67.511209,48.782778,decimal,2018-09,"Cassini Diskus - S17E 67.511209, 48.782778","67.511209, 48.782778"
67.510262,48.783732,decimal,2018-09,"Cassini Diskus - S17F 67.510262, 48.783732","67.510262, 48.783732"
45,33.0,milorb_decoded_milorb_small,2018-09,MilOrb-small +024+132 - Europe,+024+132
-20.5,16.6,milorb_decoded_milorb_large,2018-09,MilOrb-large +166-205 - Southern Africa,+166-205
-0.4,23.9,milorb_decoded_milorb_large,2018-09,MilOrb-large +239-004 - Southern Africa,+239-004
38.686137,-113.504624,decimal,2019-01,"Cassini Diskus - ""Graphium"" +38.686137, -113.504624","+38.686137, -113.504624"
-37.2312,-13.142772,decimal,2019-02,"Cassini Diskus - ""Sienna"" -37.231200, -13.142772 (Sol-3/STO-2048)","-37.231200, -13.142772"
-8.8,-39.4,milorb_decoded_milorb_large,2019-03,MilOrb-large -394-088 - South America,-394-088
76,55.25,milorb_decoded_milorb_small,2019-03,MilOrb-small +055+221 - Arctic,+055+221
-10.2,23.4,milorb_decoded_milorb_large,2019-03,MilOrb-large +234-102 - Southern Africa,+234-102
40.7,-69.4,milorb_decoded_milorb_large,2019-03,MilOrb-large -694+407 - North America,-694+407
43.0,-84.4,milorb_decoded_milorb_large,2019-03,MilOrb-large -844+430 - North America,-844+430
38.7839,110.644,dms,2019-07,Cassini Diskus - Tangent EMP Source,"38.7839, 110.644"
35.188063,-101.830901,decimal,2019-09,Orb Logic - Understanding the Language of Sol-3 Infrastructure,"35.188063, -101.830901"
35.192966,-101.83711,decimal,2019-09,Orb Logic - Understanding the Language of Sol-3 Infrastructure,"35.192966, -101.837110"
-0.7,12.3,milorb_decoded_milorb_large,2019-09,MilOrb-large +123-007 - Southern Africa,+123-007
84.342545,145.050857,decimal,2020-02,"Cassini Diskus - 84.342545, 145.050857","84.342545, 145.050857"
38.554,-120.2223,dms,2020-03,Cassini Diskus - Akrij RTB California,"38.554, -120.2223"
38.5922,-120.1758,dms,2020-03,Cassini Diskus - Graphium Flyover,"38.5922, -120.1758"
39.4605,109.3802,dms,2020-03,Cassini Diskus - Presence CAP,"39.4605, 109.3802"
31.342,115.961,dms,2020-03,Cassini Diskus - S17J Flyover China,"31.342, 115.961"
30.4871,98.0674,dms,2020-03,Cassini Diskus - S30,"30.4871, 98.0674"
35.8755,-122.4204,dms,2020-03,Cassini Diskus - Sienna Entry Pacific,"35.8755, -122.4204"
34.2685,-118.2173,dms,2020-03,Cassini Diskus - Valinta Los Angeles,"34.2685, -118.2173"
40.4784,45.7664,dms,2020-03,Cassini Diskus - Valinta Armenia,"40.4784, 45.7664"
40.4,-84.4,milorb_decoded_milorb_large,2020-03,MilOrb-large -844+404 - North America,-844+404
27.7829,120.7654,dms,2020-04,Cassini Diskus - Sienna ECW China,"27.7829, 120.7654"
16.074928,114.345674,decimal,2020-09,"Cassini Diskus - Patch 16.074928, 114.345674","16.074928, 114.345674"
38.944932,69.079744,decimal,2020-10,"Cassini Diskus - ""Graphium"" 38.944932, 69.079744","38.944932, 69.079744"
84.145184,-45.58376,decimal,2020-10,"Cassini Diskus - ""Sienna"" 84.145184, -45.583760","84.145184, -45.583760"
81.271278,-71.513184,decimal,2020-10,"Cassini Diskus - ""Sienna"" CAP 81.271278, -71.513184","81.271278, -71.513184"
81.271664,-71.61186,decimal,2020-10,"Cassini Diskus - ""Sienna"" CAP 81.271664, -71.611860","81.271664, -71.611860"
72,51.0,milorb_decoded_milorb_small,2020-10,MilOrb-small +051+204 - Arctic,+051+204
36.502088,82.766534,decimal,2020-11,"Cassini Diskus - 36.502088, 82.766534","36.502088, 82.766534"
36.562942,82.818172,decimal,2020-11,"Cassini Diskus - 36.562942, 82.818172","36.562942, 82.818172"
-0.6,-41.5,milorb_decoded_milorb_large,2021-01,MilOrb-large -415-006 - South America,-415-006
81.271664,-71.61186,decimal,2021-07,Do aliens speak Chinese? Non-conventional intel gathering in high waters,"81.271664, -71.611860"
16.226159908809212,112.53455799633153,decimal,2021-10,"Cassini Diskus - 16.226159908809212, 112.53455799633153","16.226159908809212, 112.53455799633153"
47.111938,94.01913,decimal,2021-10,"Cassini Diskus - PSV ""Akrij"" 47.111938, 94.019130","47.111938, 94.019130"
47.159936,93.993881,decimal,2021-10,"Cassini Diskus - PSV ""Presence"" 47.159936, 93.993881","47.159936, 93.993881"
46.83055,95.238805,decimal,2021-10,"Cassini Diskus - PSV ""Tangent-Pamela"" CP 46.830550, 95.238805","46.830550, 95.238805"
-20.543438560336423,-65.7337412061282,decimal,2021-11,"Cassini Diskus - S45 ""Presence"" over -20.543438560336423, -65.7337412061282","-20.543438560336423, -65.7337412061282"
20.3706,1.1036,dms,2022-02,Cassini Diskus - Akrij Niger,"20.3706, 1.1036"
23,18.0,milorb_decoded_milorb_small,2022-04,MilOrb-small +002+072 - Africa/Middle East,+002+072
40.6,30.8,milorb_decoded_milorb_large,2022-06,MilOrb-large +308+406 - Europe,+308+406
10.2,40.6,milorb_decoded_milorb_large,2022-06,MilOrb-large +406+102 - Africa/Middle East,+406+102
-47.44908441567651,-85.97305529858384,decimal,2022-07,"Cassini Diskus – “Graphium” -47.44908441567651, -85.97305529858384","-47.44908441567651, -85.97305529858384"
-47.44908441567651,-85.97305529858384,decimal,2022-07,"Cassini Diskus – “Pamela” -47.44908441567651, -85.97305529858384","-47.44908441567651, -85.97305529858384"
-47.43183079066849,-86.0113604692285,decimal,2022-07,"Cassini Diskus – “Sienna”  -47.43183079066849, -86.0113604692285","-47.43183079066849, -86.0113604692285"
67.5212,139.4468,dms,2022-10,Cassini Diskus - Yakutia Siberia,"67.5212, 139.4468"
19.1609,113.8926,dms,2023-05,Cassini Diskus - Tangent RTB South China Sea,"19.1609, 113.8926"
-34,55.25,milorb_decoded_milorb_small,2023-05,MilOrb-small -055+221 - Southern Africa,-055+221
81.5477,119.7324,dms,2024-01,Algorithmic Violence - Arctic,"81.5477, 119.7324"
-1.5,73.7,milorb_decoded_milorb_large,2024-11,MilOrb-large +737-015 - Ocean/Other,+737-015
10.4056,13.1925,dms,2025-03,Cassini Diskus - Chad/Nigeria,"10.4056, 13.1925"
40.3658,60.5786,dms,2025-03,Cassini Diskus - INT Downed Turkmenistan,"40.3658, 60.5786"
-25.7144,18.8561,dms,2025-08,Cassini Diskus - Presence Pass Namibia,"-25.7144, 18.8561"
-25.7108,18.9014,dms,2025-08,Cassini Diskus - Tangram hit Namibia,"-25.7108, 18.9014"
-11,61.0,milorb_decoded_milorb_small,2025-08,MilOrb-small -032+244 - Ocean/Other,-032+244
-34.8347,-23.9275,dms,2025-09,Cassini Diskus - Presence SAA Center,"-34.8347, -23.9275"
